runeID,runeTypeID,runeName,runeEffect,filepath
195,192,Anti-Clockwise Metamorphosis,Boosts max stamina,./frontend/src/Images/195.png
196,192,Arcane Lake,Increases arcane defense,./frontend/src/Images/196.png
197,192,Beast,Temporary boost to transform,./frontend/src/Images/197.png
198,193,Beast's Embrace,Transforms character into a ghastly Beast type of creature,./frontend/src/Images/198.png
199,192,Blood Rapture,Visceral attacks restore HP,./frontend/src/Images/199.png
200,192,Clawmark,Increases visceral attack damage,./frontend/src/Images/200.png
201,192,Clear Deep Sea,Increases slow poison resistance,./frontend/src/Images/201.png
202,192,Clockwise Metamorphosis,Boost max HP,./frontend/src/Images/202.png
203,192,Communion,Increases the max number of blood vials,./frontend/src/Images/203.png
204,193,Corruption,Continuously heal when at low health,./frontend/src/Images/204.png
205,192,Deep Sea,Increases frenzy resistance,./frontend/src/Images/205.png
206,192,Dissipating Lake,Increases bolt defense,./frontend/src/Images/206.png
207,192,Eye,Increases Item Discovery,./frontend/src/Images/207.png
208,192,Fading Lake,Increases fire defense,./frontend/src/Images/208.png
209,192,Formless Oedon,Increases the max number of quicksilver bullets,./frontend/src/Images/209.png
210,192,Great Deep Sea,Increases all resistance types,./frontend/src/Images/210.png
211,192,Guidance,Increases rally potential,./frontend/src/Images/211.png
212,192,Heir,Increases blood echoes gained from visceral attacks,./frontend/src/Images/212.png
213,193,Hunter,Increases stamina recovery speed,./frontend/src/Images/213.png
214,193,Impurity,Increases max health while in co-op,./frontend/src/Images/214.png
215,192,Lake,Increases physical defense,./frontend/src/Images/215.png
216,193,Milkweed,"Slight increase to item discovery, transforms character into a celestial Kin type of creature",./frontend/src/Images/216.png
217,192,Moon,Increases the amount of blood echoes from slain enemies,./frontend/src/Images/217.png
218,192,Oedon Writhe,Visceral attacks grant additional quicksilver bullets,./frontend/src/Images/218.png
219,193,Radiance,Increases HP recovery from blood vials,./frontend/src/Images/219.png
220,192,Stunning Deep Sea,Increases rapid poison resistance,./frontend/src/Images/220.png
